sr_no,date,startup_name,subvertical,city,investors,investment_type,amount_usd,remarks,year,industry
2826,2015-09-04,purple squirrel,,mumbai,"matrix partners india, india quotient",private equity,,series b,2015.0,technology
2827,2015-10-04,whatfix,,bangalore,"helion venture partner, powerhouse ventures, gsf and other angel investors",seed funding,900000.0,,2015.0,other
2828,2015-10-04,immi life,,chennai,unitus seed fund,seed funding,,,2015.0,healthcare
2829,2015-11-04,zomato,,gurgaon,info edge (india),private equity,25000000.0,late stage,2015.0,food
2830,NaT,zopnow,,bangalore,"dragoneer investment, accel partners, qualcomm ventures, times internet",private equity,10000000.0,series b,,food
2831,NaT,nayi disha,,delhi,"ajay relan,",seed funding,300000.0,,,technology
2832,NaT,the porter,,mumbai,kae capital,seed funding,500000.0,,,logistics
2833,NaT,commeasure,,noida,jungle ventures,seed funding,1000000.0,,,other
2834,NaT,capricoast,,bangalore,accel partners india,seed funding,1250000.0,,,technology
2835,NaT,localoye,,mumbai,"tiger global management, lightspeed venture partners",private equity,5000000.0,series a,,other
2836,NaT,grofers,,gurgaon,"tiger global, sequoia capital",private equity,35000000.0,series b,,food
2837,NaT,peppertap,,gurgaon,"saif partners, sequoia capital",private equity,10000000.0,series a,,food
2838,NaT,policybazaar,,gurgaon,"premjiinvest, tiger global, ribbit capital",private equity,40000000.0,series d,,other
2839,NaT,urbanclap,,delhi,"saif partners, accel partners, kunal bahl, rohit bansal",seed funding,1600000.0,,,ecommerce
2840,NaT,taskbob,,mumbai,"orios venture partners, mayfield india",seed funding,1200000.0,,,other
2841,NaT,robosoft,,udupi,"ascent capital, kalaari capital",private equity,12000000.0,series b,,other
2842,NaT,doormint,,mumbai,powai lake ventures,seed funding,,,,other
2843,NaT,vyomo,,gurgaon,youwecan ventures,seed funding,,,,other
2844,NaT,pastiwala,,vadodara,agnus capital,private equity,4000000.0,series a,,other
2845,NaT,1mg (healthkartplus),,gurgaon,"deep kalra, sequoia capital, omidyar network, intel capital & kae capital",private equity,6000000.0,series a,,healthcare
2846,NaT,freshdesk,,chennai,"tiger global, google capital & accel partners",private equity,50000000.0,series e,,other
2847,NaT,sulekha.com,,chennai,gic ventures,private equity,28000000.0,series c,,other
